sent messages,received messages,losses,packet loss
192,4,188.0,0.6000000000000001
188,119,69.0,0.6000000000000001
192,2,190.0,0.6000000000000001
190,2,188.0,0.6000000000000001
189,2,187.0,0.6000000000000001
196,0,196.0,0.6000000000000001
188,31,157.0,0.6000000000000001
187,1,186.0,0.6000000000000001
190,31,159.0,0.6000000000000001
190,2,188.0,0.6000000000000001
194,5,189.0,0.65
188,3,185.0,0.65
195,5,190.0,0.65
192,3,189.0,0.65
191,1,190.0,0.65
187,34,153.0,0.65
192,9,183.0,0.65
188,3,185.0,0.65
195,3,192.0,0.65
192,2,190.0,0.65
191,3,188.0,0.7000000000000001
194,2,192.0,0.7000000000000001
194,3,191.0,0.7000000000000001
192,3,189.0,0.7000000000000001
189,3,186.0,0.7000000000000001
189,13,176.0,0.7000000000000001
194,18,176.0,0.7000000000000001
190,3,187.0,0.7000000000000001
190,0,190.0,0.7000000000000001
195,9,186.0,0.7000000000000001
191,5,186.0,0.75
192,7,185.0,0.75
193,3,190.0,0.75
194,3,191.0,0.75
196,8,188.0,0.75
189,3,186.0,0.75
189,3,186.0,0.75
190,3,187.0,0.75
196,3,193.0,0.75
192,3,189.0,0.75
195,17,178.0,0.8
191,0,191.0,0.8
194,3,191.0,0.8
193,3,190.0,0.8
187,0,187.0,0.8
191,5,186.0,0.8
189,3,186.0,0.8
190,10,180.0,0.8
196,17,179.0,0.8
193,2,191.0,0.8
190,3,187.0,0.8500000000000001
187,3,184.0,0.8500000000000001
189,1,188.0,0.8500000000000001
189,0,189.0,0.8500000000000001
191,2,189.0,0.8500000000000001
192,3,189.0,0.8500000000000001
196,3,193.0,0.8500000000000001
189,1,188.0,0.8500000000000001
192,4,188.0,0.8500000000000001
189,3,186.0,0.8500000000000001
190,3,187.0,0.9
188,2,186.0,0.9
193,0,193.0,0.9
193,0,193.0,0.9
193,2,191.0,0.9
195,0,195.0,0.9
192,0,192.0,0.9
192,3,189.0,0.9
192,0,192.0,0.9
189,0,189.0,0.9
196,0,196.0,0.9500000000000001
188,3,185.0,0.9500000000000001
190,0,190.0,0.9500000000000001
187,0,187.0,0.9500000000000001
194,0,194.0,0.9500000000000001
190,0,190.0,0.9500000000000001
194,3,191.0,0.9500000000000001
196,3,193.0,0.9500000000000001
195,0,195.0,0.9500000000000001
195,3,192.0,0.9500000000000001
